Name,Description,CONFIG,PRODUCT,VERSION,COMPONENT,LOCALE,KEY,VALUE,FORMAT_ITEMS,ASSERTION
ascii_O,,ascii.yml,PythonClient,1.0.1,ascii,en,O,the ascii value is : 79,,the ascii value is : 79
ascii_P,,ascii.yml,PythonClient,1.0.1,ascii,en,P,the ascii value is : 80,,the ascii value is : 80
ascii_Q,,ascii.yml,PythonClient,1.0.1,ascii,en,Q,the ascii value is : 81,,the ascii value is : 81
ascii_R,,ascii.yml,PythonClient,1.0.1,ascii,en,R,the ascii value is : 82,,the ascii value is : 82
ascii_S,,ascii.yml,PythonClient,1.0.1,ascii,en,S,the ascii value is : 83,,the ascii value is : 83
ascii_T,,ascii.yml,PythonClient,1.0.1,ascii,en,T,the ascii value is : 84,,the ascii value is : 84
ascii_U,,ascii.yml,PythonClient,1.0.1,ascii,en,U,the ascii value is : 85,,the ascii value is : 85
ascii_V,,ascii.yml,PythonClient,1.0.1,ascii,en,V,the ascii value is : 86,,the ascii value is : 86
ascii_W,,ascii.yml,PythonClient,1.0.1,ascii,en,W,the ascii value is : 87,,the ascii value is : 87
ascii_X,,ascii.yml,PythonClient,1.0.1,ascii,en,X,the ascii value is : 88,,the ascii value is : 88
ascii_Y,,ascii.yml,PythonClient,1.0.1,ascii,en,Y,the ascii value is : 89,,the ascii value is : 89
ascii_Z,,ascii.yml,PythonClient,1.0.1,ascii,en,Z,the ascii value is : 90,,the ascii value is : 90
ascii_[,,ascii.yml,PythonClient,1.0.1,ascii,en,[,the ascii value is : 91,,the ascii value is : 91
ascii_\,,ascii.yml,PythonClient,1.0.1,ascii,en,\,the ascii value is : 92,,the ascii value is : 92
ascii_],,ascii.yml,PythonClient,1.0.1,ascii,en,],the ascii value is : 93,,the ascii value is : 93
ascii_^,,ascii.yml,PythonClient,1.0.1,ascii,en,^,the ascii value is : 94,,the ascii value is : 94
ascii__,,ascii.yml,PythonClient,1.0.1,ascii,en,_,the ascii value is : 95,,the ascii value is : 95
ascii_`,,ascii.yml,PythonClient,1.0.1,ascii,en,`,the ascii value is : 96,,the ascii value is : 96
ascii_a,,ascii.yml,PythonClient,1.0.1,ascii,en,a,the ascii value is : 97,,the ascii value is : 97
ascii_b,,ascii.yml,PythonClient,1.0.1,ascii,en,b,the ascii value is : 98,,the ascii value is : 98
ascii_c,,ascii.yml,PythonClient,1.0.1,ascii,en,c,the ascii value is : 99,,the ascii value is : 99
ascii_d,,ascii.yml,PythonClient,1.0.1,ascii,en,d,the ascii value is : 100,,the ascii value is : 100
ascii_e,,ascii.yml,PythonClient,1.0.1,ascii,en,e,the ascii value is : 101,,the ascii value is : 101
ascii_f,,ascii.yml,PythonClient,1.0.1,ascii,en,f,the ascii value is : 102,,the ascii value is : 102
ascii_g,,ascii.yml,PythonClient,1.0.1,ascii,en,g,the ascii value is : 103,,the ascii value is : 103
ascii_h,,ascii.yml,PythonClient,1.0.1,ascii,en,h,the ascii value is : 104,,the ascii value is : 104
ascii_i,,ascii.yml,PythonClient,1.0.1,ascii,en,i,the ascii value is : 105,,the ascii value is : 105
ascii_j,,ascii.yml,PythonClient,1.0.1,ascii,en,j,the ascii value is : 106,,the ascii value is : 106
ascii_k,,ascii.yml,PythonClient,1.0.1,ascii,en,k,the ascii value is : 107,,the ascii value is : 107
ascii_l,,ascii.yml,PythonClient,1.0.1,ascii,en,l,the ascii value is : 108,,the ascii value is : 108
ascii_m,,ascii.yml,PythonClient,1.0.1,ascii,en,m,the ascii value is : 109,,the ascii value is : 109
ascii_n,,ascii.yml,PythonClient,1.0.1,ascii,en,n,the ascii value is : 110,,the ascii value is : 110
ascii_o,,ascii.yml,PythonClient,1.0.1,ascii,en,o,the ascii value is : 111,,the ascii value is : 111
ascii_p,,ascii.yml,PythonClient,1.0.1,ascii,en,p,the ascii value is : 112,,the ascii value is : 112
ascii_q,,ascii.yml,PythonClient,1.0.1,ascii,en,q,the ascii value is : 113,,the ascii value is : 113
ascii_r,,ascii.yml,PythonClient,1.0.1,ascii,en,r,the ascii value is : 114,,the ascii value is : 114
ascii_s,,ascii.yml,PythonClient,1.0.1,ascii,en,s,the ascii value is : 115,,the ascii value is : 115
ascii_t,,ascii.yml,PythonClient,1.0.1,ascii,en,t,the ascii value is : 116,,the ascii value is : 116
ascii_u,,ascii.yml,PythonClient,1.0.1,ascii,en,u,the ascii value is : 117,,the ascii value is : 117
ascii_v,,ascii.yml,PythonClient,1.0.1,ascii,en,v,the ascii value is : 118,,the ascii value is : 118
ascii_w,,ascii.yml,PythonClient,1.0.1,ascii,en,w,the ascii value is : 119,,the ascii value is : 119
ascii_x,,ascii.yml,PythonClient,1.0.1,ascii,en,x,the ascii value is : 120,,the ascii value is : 120
ascii_y,,ascii.yml,PythonClient,1.0.1,ascii,en,y,the ascii value is : 121,,the ascii value is : 121
ascii_z,,ascii.yml,PythonClient,1.0.1,ascii,en,z,the ascii value is : 122,,the ascii value is : 122
ascii_{,,ascii.yml,PythonClient,1.0.1,ascii,en,{,the ascii value is : 123,,the ascii value is : 123
ascii_|,,ascii.yml,PythonClient,1.0.1,ascii,en,|,the ascii value is : 124,,the ascii value is : 124
ascii_},,ascii.yml,PythonClient,1.0.1,ascii,en,},the ascii value is : 125,,the ascii value is : 125
ascii_~,,ascii.yml,PythonClient,1.0.1,ascii,en,~,the ascii value is : 126,,the ascii value is : 126
ascii_mH:38,,ascii.yml,PythonClient,1.0.1,ascii,en,mH:38,the ascii value is :109-72-58-51-56,,the ascii value is :109-72-58-51-56
ascii_s>QH*,,ascii.yml,PythonClient,1.0.1,ascii,en,s>QH*,the ascii value is :115-62-81-72-42,,the ascii value is :115-62-81-72-42
ascii_&J7/Y,,ascii.yml,PythonClient,1.0.1,ascii,en,&J7/Y,the ascii value is :38-74-55-47-89,,the ascii value is :38-74-55-47-89
ascii_xc+me,,ascii.yml,PythonClient,1.0.1,ascii,en,xc+me,the ascii value is :120-99-43-109-101,,the ascii value is :120-99-43-109-101
ascii_;;XXs,,ascii.yml,PythonClient,1.0.1,ascii,en,;;XXs,the ascii value is :59-59-88-88-115,,the ascii value is :59-59-88-88-115
ascii_6otv[,,ascii.yml,PythonClient,1.0.1,ascii,en,6otv[,the ascii value is :54-111-116-118-91,,the ascii value is :54-111-116-118-91
ascii_yKKGn,,ascii.yml,PythonClient,1.0.1,ascii,en,yKKGn,the ascii value is :121-75-75-71-110,,the ascii value is :121-75-75-71-110
ascii_+hsWF,,ascii.yml,PythonClient,1.0.1,ascii,en,+hsWF,the ascii value is :43-104-115-87-70,,the ascii value is :43-104-115-87-70
ascii_rG~LO,,ascii.yml,PythonClient,1.0.1,ascii,en,rG~LO,the ascii value is :114-71-126-76-79,,the ascii value is :114-71-126-76-79
ascii_l(T ;,,ascii.yml,PythonClient,1.0.1,ascii,en,l(T ;,the ascii value is :108-40-84-32-59,,the ascii value is :108-40-84-32-59
